year,fiscal_start_year,fiscal_end_year,observation_status,source_url,total_members,total_issues,reading_room_attendance,collection_total,books_added_to_stock,total_expenditure_rs,population_denominator,members_per_1m,issues_per_1m,reading_room_attendance_per_1m,collection_refresh_pct,issues_per_collection_item,notes
2009-10,2009,2010,observed,https://dpl.gov.in/images/annualreport910.pdf,64883,1039977,316657,1552000,77872,,19000000,3414.9,54735.6,16666.2,5.018,0.670088,Membership and issue metrics parsed from reconciled unit total table.
2010-11,2010,2011,observed,https://dpl.gov.in/images/AnnualReport10-11.pdf,73467,1169734,244499,1608813,33868,,19000000,3866.7,61564.9,12868.4,2.105,0.727079,Membership and issue metrics parsed from reconciled unit total table.
2011-12,2011,2012,observed,https://dpl.gov.in/images/pdf/annual2011_12.pdf,76548,1133154,477107,1640909,39860,,19000000,4028.8,59639.7,25110.9,2.429,0.690565,Membership and issue metrics parsed from reconciled unit total table.
2012-13,2012,2013,observed,https://drive.google.com/file/d/18L6NnB4ysfe9SigOhyKHXl1fRK4YP1jQ/view?usp=sharing,80448,1138767,398029,1681426,40517,,19000000,4234.1,59935.1,20948.9,2.410,0.677263,Membership and issue metrics parsed from reconciled unit total table.
2013-14,2013,2014,observed,https://drive.google.com/file/d/0BxVoYdQQldmNRzQ0VDVHQXlpV3c/view?usp=sharing,107276,1081767,397718,1694695,23565,,19000000,5646.1,56935.1,20932.5,1.391,0.638325,Membership and issue metrics parsed from reconciled unit total table.
2014-15,2014,2015,observed,https://drive.google.com/file/d/0BxVoYdQQldmNdTRycE83NW9OeFk/view?usp=sharing,126091,845044,384049,1668258,59570,,19000000,6636.4,44476.0,20213.1,3.571,0.506543,Membership and issue metrics parsed from reconciled unit total table.
2015-16,2015,2016,observed,https://drive.google.com/file/d/0BxVoYdQQldmNNktDOENSZXdtSkE/view?usp=sharing,139835,757439,314089,1717727,37014,,19000000,7359.7,39865.2,16531.0,2.155,0.440954,Membership and issue metrics parsed from reconciled unit total table.
2016-17,2016,2017,observed,https://drive.google.com/file/d/1Ug33f17_4uaCAtl1U-F61pOPHLzj1a3w/view?usp=sharing,159200,700412,293883,1706326,38256,,19000000,8378.9,36863.8,15467.5,2.242,0.410480,Membership and issue metrics parsed from reconciled unit total table. Adult/child issue subtotals do not reconcile with reported total issues; total issues retained.
2017-18,2017,2018,observed,https://drive.google.com/file/d/1VdnqrkfRz11e_C0wKGbOuuPBeQxT9YIL/view?usp=sharing,175422,730706,330888,1735868,21545,,19000000,9232.7,38458.2,17415.2,1.241,0.420946,Membership and issue metrics parsed from reconciled unit total table. Adult/child issue subtotals do not reconcile with reported total issues; total issues retained.
2018-19,2018,2019,observed,https://drive.google.com/file/d/1M8NtKz1wYxhUMV0alL8Qls88vIFFMEsJ/view?usp=sharing,187138,814858,365854,1694950,27958,,19000000,9849.4,42887.3,19255.5,1.649,0.480756,Membership and issue metrics parsed from reconciled unit total table.
2019-20,2019,2020,observed,https://drive.google.com/file/d/18GyW-jgqT0iAkaGo5BtLUQf0QVKYVJDl/view?usp=sharing,189235,477008,353246,1596125,13310,,19000000,9959.7,25105.7,18591.9,0.834,0.298854,Membership and issue metrics parsed from reconciled unit total table.
2020-21,2020,2021,observed,https://drive.google.com/file/d/1E1kOzYcRD82hX993NBr1ysZvGsHRb03U/view?usp=sharing,165854,112946,25855,1602290,2504,,19000000,8729.2,5944.5,1360.8,0.156,0.070490,Membership and issue metrics parsed from summary line; no unit total table found.
2021-22,2021,2022,observed,https://drive.google.com/file/d/1ETQH_6IQpJrzyvq4v0_47tSrOCCZGrGl/view?usp=share_link,156867,196889,132411,1605443,2697,313168329,19000000,8256.2,10362.6,6969.0,0.168,0.122638,Membership and issue metrics parsed from reconciled unit total table.
2022-23,2022,2023,observed,https://drive.google.com/file/d/1PWG1Sh_JNHdg_PAlLYQ2HGiWwiVNktAD/view?usp=sharing,148094,258180,328728,1536905,9947,350371534,19000000,7794.4,13588.4,17301.5,0.647,0.167987,Membership and issue metrics parsed from reconciled unit total table.
2023-24,2023,2024,observed,https://drive.google.com/file/d/1d6K6glvU5osL5ck9tR_2LLuoHFQUeh0e/view?usp=sharing,110534,274751,335270,1527531,3108,328986673,19000000,5817.6,14460.6,17645.8,0.203,0.179866,Membership and issue metrics parsed from reconciled unit total table. Adult/child issue subtotals do not reconcile with reported total issues; total issues retained. 2023-24 summary line has inconsistent adult/child subtotals; reconciled unit table used.
